"","Class","Name","InChIKey","CID","CAS","Yao.2005.WT","Marshall.2010.WT"
"72","aldehyde","pentanal","HGBOYTHUEUWSSQ-UHFFFAOYSA-N","8063","110-62-3",43,NA
"73","aldehyde","hexanal","JARKCYVAAOWBJS-UHFFFAOYSA-N","6184","66-25-1",13,NA
"74","aldehyde","E2-hexenal","MBDOYVRWFFCFHM-SNAWJCMRSA-N","5281168","6728-26-3",43,NA
"75","O ring","furfural","HYBBIBNJHNGZAN-UHFFFAOYSA-N","7362","98-01-1",NA,NA
"76","aldehyde","2-propenal","HGINCPLSRVDWNT-UHFFFAOYSA-N","7847","107-02-8",NA,NA
"77","aldehyde","octanal","NUJGJRNETVAIRJ-UHFFFAOYSA-N","454","124-13-0",14,NA
"78","aldehyde","decanal","KSMVZQYAVGTKIV-UHFFFAOYSA-N","8175","112-31-2",19,NA
"79","aldehyde","heptanal","FXHGMKSSBGDXIY-UHFFFAOYSA-N","8130","111-71-7",13,NA
"80","aldehyde","E2-octenal","LVBXEMGDVWVTGY-VOTSOKGWSA-N","5283324","2548-87-0",NA,NA
"81","aldehyde","nonanal","GYHFUZHODSMOHU-UHFFFAOYSA-N","31289","124-19-6",13,NA
"82","aldehyde","E2-heptenal","NDFKTBCGKNOHPJ-AATRIKPKSA-N","5283316","18829-55-5",25,NA
"83","ketone","acetone","CSCPPACGZOOCGX-UHFFFAOYSA-N","180","67-64-1",NA,0
"84","ketone","2-butanone","ZWEHNKRNPOVVGH-UHFFFAOYSA-N","6569","78-93-3",7,-9
"85","ketone","2-pentanone","XNLICIUVMPYHGG-UHFFFAOYSA-N","7895","107-87-9",13,NA
"86","ketone","2-heptanone","CATSNJVOTSVZJV-UHFFFAOYSA-N","8051","110-43-0",26,NA
"87","ketone","6-methyl-5-hepten-2-one","UHEPJGULSIKKTP-UHFFFAOYSA-N","9862","110-93-0",NA,5.333
"88","ketone","2,3-butanedione","QSJXEFYPDANLFS-UHFFFAOYSA-N","650","431-03-8",NA,NA
"89","ketone","3-hydroxy-2-butanone","ROWKJAVDOGWPAT-UHFFFAOYSA-N","179","513-86-0",NA,NA
"90","ketone","3-penten-2-one","LABTWGUMFABVFG-ARJAWSKDSA-N","12248","625-33-2",NA,NA
"91","ketone","2-hexanone","QQZOPKMRPOGIEB-UHFFFAOYSA-N","11583","591-78-6",32,NA
"92","ketone","3-hexanone","PFCHFHIRKBAQGU-UHFFFAOYSA-N","11509","589-38-8",NA,NA
"93","ketone","cyclohexanone","JHIVVAPYMSGYDF-UHFFFAOYSA-N","7967","108-94-1",12,-2
"94","ketone","2-octanone","ZPVFWPFBNIEHGJ-UHFFFAOYSA-N","8093","111-13-7",19,NA
"95","ketone","nonanone","VKCYHJWLYTUGCC-UHFFFAOYSA-N","13187","821-55-6",13,NA
"96","ketone","3-heptanone","NGAZZOYFWWSOGK-UHFFFAOYSA-N","7802","106-35-4",NA,NA
"97","arom","phenethyl alcohol","WRMNZCZEMHIOCP-UHFFFAOYSA-N","6054","60-12-8",NA,NA
"98","arom","benzyl alcohol","WVDDGKGOMKODPV-UHFFFAOYSA-N","244","100-51-6",11,NA
"99","arom","methyl salicylate","OSWPMRLSEDHDFF-UHFFFAOYSA-N","4133","119-36-8",NA,NA
"100","arom","methyl benzoate","QPJVMBTYPHYUOC-UHFFFAOYSA-N","7150","93-58-3",NA,NA
"101","arom","ethyl benzoate","MTZQAGJQAFMTAQ-UHFFFAOYSA-N","7165","93-89-0",NA,NA
"102","arom","phenethyl acetate","MDHYEMXUFSJLGV-UHFFFAOYSA-N","7654","103-45-7",NA,NA
"103","arom","benzaldehyde","HUMNYLRZRPPJDN-UHFFFAOYSA-N","240","100-52-7",19,4.167
"104","arom","phenylacetaldehyde","DTUQWGWMVIHBKE-UHFFFAOYSA-N","998","122-78-1",13,NA
"105","arom","acetophenone","KWOLFJPFCHCOCG-UHFFFAOYSA-N","7410","98-86-2",NA,NA
"106","arom","ethyl cinnamate","KBEBGUQPQBELIU-CMDGGOBGSA-N","637758","103-36-6",NA,NA
"107","arom","2-methylphenol","QWVGKYWNOKOFNN-UHFFFAOYSA-N","335","95-48-7",NA,0.333
"108","arom","4-ethylguaiacol","CHWNEIVBYREQRF-UHFFFAOYSA-N","62465","2785-89-9",NA,NA
"109","arom","eugenol","RRAFCDWBNXTKKO-UHFFFAOYSA-N","3314","97-53-0",NA,NA
"110","arom","salicyl aldehyde","SMQUZDBALVYZAC-UHFFFAOYSA-N","6998","90-02-8",NA,NA
"111","arom","2-hydroxy-anisole","LHGVFZTZFXWLCP-UHFFFAOYSA-N","460","90-05-1",NA,NA
"112","arom","4-propenyl anisole","RUVINXPYWBROJD-ONEGZZNKSA-N","637563","104-46-1",NA,NA
"113","arom","4-methoxybenzaldehyde","ZRSNZINYAWTAHE-UHFFFAOYSA-N","31244","123-11-5",NA,NA
"114","arom","4-isopropylbenzaldehyde","WTWBUQJHJGUZCY-UHFFFAOYSA-N","326","122-03-2",NA,NA
"115","arom","4-methoxybenzene","RDOXTESZEPMUJZ-UHFFFAOYSA-N","7519","100-66-3",NA,NA
"116","arom","4-allyl-1,2-dimethoxybenzene","ZYEMGPIYFIJGTP-UHFFFAOYSA-N","7127","93-15-2",NA,NA
"117","arom","2,4,5-trimethoxy-1-propenylbenzene","RKFAZBXYICVSKP-WAYWQWQTSA-N","636822","2883-98-9",NA,NA
"118","arom","benzyl cyanide","SUSQOBVLVYHIEX-UHFFFAOYSA-N","8794","140-29-4",19,NA
"119","arom","iso-eugenol","BJIOGJUNALELMI-ONEGZZNKSA-N","853433","97-54-1",NA,NA
"120","arom","4-methylphenol","IWDCLRJOBJJRNH-UHFFFAOYSA-N","2879","106-44-5",NA,NA
"121","arom","4-ethylphenol","HXDOZKJGKXYMEW-UHFFFAOYSA-N","31242","123-07-9",NA,NA
"122","arom","2-propylphenol","LCHYEKKJCUJAKN-UHFFFAOYSA-N","12570","644-35-9",NA,NA
"123","arom","3-phenyl-2e-propenal","KJPRLNWUNMBNBZ-QPJJXVBHSA-N","637511","14371-10-9",NA,NA
"124","arom","benzonitrile","JFDZBHWFFUWGJE-UHFFFAOYSA-N","7505","100-47-0",NA,NA
"125","arom","methyl jasmonate","GEWDNTWNSAZUDX-SNAWJCMRSA-N","62388","39924-52-2",NA,NA
"126","arom","benzyl acetate","QUKGYYKBILRGFE-UHFFFAOYSA-N","8785","140-11-4",26,NA
"127","arom","4-propylphenol","KLSLBUSXWBJMEC-UHFFFAOYSA-N","12580","645-56-7",NA,NA
"128","arom","3-methylphenol","RLSSMJSEOOYNOY-UHFFFAOYSA-N","342","108-39-4",NA,NA
"129","arom","2-ethylphenol","IXQGCWUGDFDQMF-UHFFFAOYSA-N","6997","90-00-6",NA,NA
"130","arom","benzoic acid","WPYMKLBDIGXBTP-UHFFFAOYSA-N","243","65-85-0",NA,NA
"131","arom","4hydroxy-3-methoxybenzaldehyde","MWOOGOJBHIARFG-UHFFFAOYSA-N","1183","121-33-5",NA,NA
"132","alcohol","methanol","OKKJLVBELUTLKV-UHFFFAOYSA-N","887","67-56-1",NA,NA
"133","alcohol","ethanol","LFQSCWFLJHTTHZ-UHFFFAOYSA-N","702","64-17-5",NA,NA
"134","alcohol","1-propanol","BDERNNFJNOPAEC-UHFFFAOYSA-N","1031","71-23-8",NA,NA
"135","alcohol","1-butanol","LRHPLDYGYMQRHN-UHFFFAOYSA-N","263","71-36-3",-3,NA
"136","alcohol","1-pentanol","AMQJEAYHLZJPGS-UHFFFAOYSA-N","6276","71-41-0",7,NA
"137","alcohol","1-hexanol","ZSIAUFGUXNUGDI-UHFFFAOYSA-N","8103","111-27-3",7,NA
"138","alcohol","1-octanol","KBPLFHHGFOOTCA-UHFFFAOYSA-N","957","111-87-5",14,NA
"139","alcohol","2-octanol","SJWFXCIHNDVPSH-UHFFFAOYSA-N","20083","123-96-6",NA,NA
"140","alcohol","2-pentanol","JYVLIDXNZAXMDK-UHFFFAOYSA-N","22386","6032-29-7",NA,NA
"141","alcohol","3-methyl-butanol","PHTQWCKDNZKARW-UHFFFAOYSA-N","31260","123-51-3",-4,NA
"142","alcohol","3-methyl-2-buten-1-ol","ASUAYTHWZCLXAN-UHFFFAOYSA-N","11173","556-82-1",NA,NA
"143","alcohol","1-penten-3-ol","VHVMXWZXFBOANQ-UHFFFAOYSA-N","12020","616-25-1",NA,NA
"144","alcohol","1-octen-3-ol","VSMOENVRRABVKN-UHFFFAOYSA-N","18827","3391-86-4",25,6
"145","alcohol","E2-hexenol","ZCHHRLHTBGRGOT-SNAWJCMRSA-N","5318042","928-95-0",NA,NA
"146","alcohol","Z2-hexenol","ZCHHRLHTBGRGOT-PLNGDYQASA-N","5324489","928-94-9",NA,NA
"147","alcohol","E3-hexenol","UFLHIIWVXFIJGU-ONEGZZNKSA-N","5284503","928-97-2",NA,NA
"148","alcohol","Z3-hexenol","UFLHIIWVXFIJGU-ARJAWSKDSA-N","5281167","928-96-1",24,NA
"149","alcohol","glycerol","PEDCQBHIVMGVHV-UHFFFAOYSA-N","753","56-81-5",NA,NA
"150","alcohol","2,3-butanediol","OWBTYPJTUOEWEK-UHFFFAOYSA-N","262","513-85-9",NA,NA
"151","alcohol","cyclohexanol","HPXRVTGHNJAIIH-UHFFFAOYSA-N","7966","108-93-0",6,NA
"152","alcohol","decanol","MWKFXSUHUHTGQN-UHFFFAOYSA-N","8174","112-30-1",26,NA
"153","alcohol","4-methylcyclohexanol","MQWCXKGKQLNYQG-UHFFFAOYSA-N","11524","589-91-3",NA,NA
"154","alcohol","1-heptanol","BBMCTIGTTCKYKF-UHFFFAOYSA-N","8129","111-70-6",NA,NA
"155","alcohol","3-octanol","NMRPBPVERJPACX-UHFFFAOYSA-N","11527","589-98-0",NA,NA
"156","alcohol","1-nonanol","ZWRUINPWMLAQRD-UHFFFAOYSA-N","8914","143-08-8",14,NA
"157","alcohol","4-octanol","WOFPPJOZXUTRAU-UHFFFAOYSA-N","11515","589-62-8",NA,NA
"158","alcohol","2-heptanol","CETWDUZRCINIHU-UHFFFAOYSA-N","10976","543-49-7",NA,NA
"159","alcohol","2-hexanol","QNVRIHYSUZMSGM-UHFFFAOYSA-N","12297","626-93-7",NA,NA
"160","alcohol","3-hexanol","ZOCHHNOQQHDWHG-UHFFFAOYSA-N","12178","623-37-0",NA,NA
"161","alcohol","1-hexen-3-ol","BVOSSZSHBZQJOI-UHFFFAOYSA-N","20928","4798-44-1",NA,NA
"162","alcohol","isobutyl alcohol","ZXEKIIBDNHEJCQ-UHFFFAOYSA-N","6560","78-83-1",-2,NA
"163","ester","methyl acetate","KXKVLQRXCPHEJC-UHFFFAOYSA-N","6584","79-20-9",NA,NA
"164","ester","ethyl acetate","XEKOWRVHYACXOJ-UHFFFAOYSA-N","8857","141-78-6",NA,8
"165","ester","propyl acetate","YKYONYBAUNKHLG-UHFFFAOYSA-N","7997","109-60-4",NA,NA
"166","ester","butyl acetate","DKPFZGUDAPQIHT-UHFFFAOYSA-N","31272","123-86-4",14,NA
"167","ester","pentyl acetate","PGMYKACGEOXYJE-UHFFFAOYSA-N","12348","628-63-7",42,NA
"168","ester","hexyl acetate","AOGQPLXWSUTHQB-UHFFFAOYSA-N","8908","142-92-7",10,NA
"169","ester","isobutyl acetate","GJRQTCIYDGXPES-UHFFFAOYSA-N","8038","110-19-0",NA,NA
"170","ester","isopentyl acetate","MLFHJEHSLIIPHL-UHFFFAOYSA-N","31276","123-92-2",NA,NA
"171","ester","E2-hexenyl acetate","HRHOWZHRCRZVCU-WAYWQWQTSA-N","2733294","2497-18-9",NA,NA
"172","ester","methyl butyrate","UUIQMZJEGPQKFD-UHFFFAOYSA-N","12180","623-42-7",NA,NA
"173","ester","ethyl butyrate","OBNCKNCVKJNDBV-UHFFFAOYSA-N","7762","105-54-4",NA,0.667
"174","ester","hexyl butyrate","XAPCMTMQBXLDBB-UHFFFAOYSA-N","17525","2639-63-6",NA,NA
"175","ester","ethyl 3-hydroxybutyrate","OMSUIQOIVADKIM-UHFFFAOYSA-N","62572","5405-41-4",NA,NA
"176","ester","ethyl propionate","FKRCODPIKNYEAC-UHFFFAOYSA-N","7749","105-37-3",NA,NA
"177","ester","ethyl methanoate","WBJINCZRORDGAQ-UHFFFAOYSA-N","8025","109-94-4",NA,NA
"178","ester","methyl hexanoate","NUKZAGXMHTUAFE-UHFFFAOYSA-N","7824","106-70-7",NA,NA
"179","ester","ethyl hexanoate","SHZIWNPUGXLXDT-UHFFFAOYSA-N","31265","123-66-0",NA,NA
"180","ester","hexyl hexanoate","NCDCLPBOMHPFCV-UHFFFAOYSA-N","22873","6378-65-0",NA,NA
"181","ester","methyl octanoate","JGHZJRVDZXSNKQ-UHFFFAOYSA-N","8091","111-11-5",NA,NA
"182","ester","ethyl octanoate","YYZUSRORWSJGET-UHFFFAOYSA-N","7799","106-32-1",NA,NA
"183","ester","ethyl decanoate","RGXWDWUGBIJHDO-UHFFFAOYSA-N","8048","110-38-3",NA,NA
"184","ester","ethyl trans-2-butenoate","ZFDIRQKJPRINOQ-HWKANZROSA-N","429065","623-70-1",NA,NA
"185","ester","ethyl lactate","LZCLXQDLBQLTDK-UHFFFAOYSA-N","92831","97-64-3",NA,NA
"186","ester","diethyl succinate","DKMROQRQHGEIOW-UHFFFAOYSA-N","31249","123-25-1",NA,NA
"187","ester","octyl acetate","YLYBTZIQSIBWLI-UHFFFAOYSA-N","8164","112-14-1",NA,NA
"188","ester","decyl acetate","NUPSHWCALHZGOV-UHFFFAOYSA-N","8167","112-17-4",NA,NA
"189","ester","methyl propionate","RJUFJBKOKNCXHH-UHFFFAOYSA-N","11124","554-12-1",NA,NA
"190","ester","propyl butanoate","HUAZGNHGCJGYNP-UHFFFAOYSA-N","7770","105-66-8",NA,NA
"191","ester","butyl hexanoate","RPRPDTXKGSIXMD-UHFFFAOYSA-N","12294","626-82-4",NA,NA
"192","N ring","indole","SIKJAQJRHWYJAI-UHFFFAOYSA-N","798","120-72-9",NA,NA
"193","ester","Z11-hexdecenyl acetate","BTKXLQSCEOHKTF-SREVYHEPSA-N","5364711","34010-21-4",NA,NA
"194","ester","2-methyl butyl acetate","XHIUFYZDQBSEMF-UHFFFAOYSA-N","12209","624-41-9",NA,NA
"195","ester","propyl propionate","MCSINKKTEDDPNK-UHFFFAOYSA-N","7803","106-36-5",NA,NA
"196","ester","sec-amyl acetate","GQKZRWSUJHVIPE-UHFFFAOYSA-N","12278","626-38-0",NA,NA
"197","ester","ethyl (R)-(-)-3-hydroxybutanoate","OMSUIQOIVADKIM-RXMQYKEDSA-N","440030","24915-95-5",NA,NA
"198","ester","ethyl (S)-(+)-3-hydroxybutanoate","OMSUIQOIVADKIM-YFKPBYRVSA-N","6950306","56816-01-4",NA,NA
"199","ester","ethyl 2-methylbutanoate","HCRBXQFHJMCTLF-UHFFFAOYSA-N","24020","7452-79-1",NA,NA
"200","ester","butyl butanoate","XUPYJHCZDLZNFP-UHFFFAOYSA-N","7983","109-21-7",NA,NA
"201","ester","ethyl pentanoate","ICMAFTSLXCXHRK-UHFFFAOYSA-N","10882","539-82-2",NA,7.333
"202","ester","methyl 3-hydroxy hexanoate","ACCRBMDJCPPJDX-UHFFFAOYSA-N","519845","21188-58-9",NA,NA
"203","ester","ethyl 3-hydroxyhexanoate","LYRIITRHDCNUHV-UHFFFAOYSA-N","61293","2305-25-1",NA,NA
"204","ester","propyl hexanoate","HTUIWRWYYVBCFT-UHFFFAOYSA-N","12293","626-77-7",NA,NA
"205","ester","isoamyl tiglate","ZARFDQHJMNVNLE-WEVVVXLNSA-N","5463682","41519-18-0",NA,NA
"206","ester","isopropyl butyrate","FFOPEPMHKILNIT-UHFFFAOYSA-N","61184","638-11-9",NA,NA
"207","ester","methyl tiglate","YYJWBYNQJLBIGS-PLNGDYQASA-N","5323652","6622-76-0",NA,NA
"208","ester","ethyl 2-methyl-2e-butenoate","OAPHLAAOJMTMLY-GQCTYLIASA-N","5281163","5837-78-5",NA,NA
"209","ester","isopropyl tiglate","VUPBIVVRPJDWNW-FNORWQNLSA-N","5367745","1733-25-1",NA,NA
"210","ester","ethyl isovalerate","PPXUHEORWJQRHJ-UHFFFAOYSA-N","7945","108-64-5",NA,NA
"211","ester","heptyl acetate","ZCZSIDMEHXZRLG-UHFFFAOYSA-N","8159","112-06-1",NA,NA
"212","ester","Z3-hexenyl acetate","NPFVOOAXDOBMCE-PLNGDYQASA-N","5363388","3681-71-8",NA,NA
"213","ester","hexyl methanoate","OUGPMNMLWKSBRI-UHFFFAOYSA-N","61177","629-33-4",NA,NA
"214","ester","nonyl acetate","GJQIMXVRFNLMTB-UHFFFAOYSA-N","8918","143-13-5",NA,NA
"215","ester","butyl propanoate","BTMVHUNTONAYDX-UHFFFAOYSA-N","11529","590-01-2",NA,NA
"216","O ring","acetyl furan","IEMMBWWQXVXBEU-UHFFFAOYSA-N","14505","1192-62-7",NA,NA
"217","O ring","beta-butyrolactone","GSCLMSFRWBPUSK-UHFFFAOYSA-N","18303","3068-88-0",NA,NA
"218","O ring","gamma-valerolactone","GAEKPEKOJKCEMS-UHFFFAOYSA-N","7921","108-29-2",NA,NA
"219","O ring","gamma-pentyl-gamma-butyrolactone","OALYTRUKMRCXNH-QMMMGPOBSA-N","441574","63357-97-1",NA,NA
"220","O ring","gamma-propyl-gamma-butyrolactone","VLSVVMPLPMNWBH-UHFFFAOYSA-N","7742","105-21-5",NA,NA
"221","other","oil","solvent","solvent","solvent",13,8
"222","other","heptane","IMNFDUFMRHMDMM-UHFFFAOYSA-N","8900","142-82-5",NA,NA
"223","other","octane","TVMXDCGIABBOFY-UHFFFAOYSA-N","356","111-65-9",NA,NA
"224","other","nonane","BKIMMITUMNQMOS-UHFFFAOYSA-N","8141","111-84-2",NA,NA
"225","other","carbon dioxide","CURLTUGMZLYLDI-UHFFFAOYSA-N","280","124-38-9",NA,NA
"226","N ring","2-isobutyl-3-methoxypyrazine","UXFSPRAGHGMRSQ-UHFFFAOYSA-N","32594","24683-00-9",NA,NA
"227","N ring","pyrrolidine","RWRDLPDLKQPQOW-UHFFFAOYSA-N","31268","123-75-1",NA,NA
"228","other","11-cis vaccenyl acetate","QSZKEDWVAOAFQY-HJWRWDBZSA-N","5363286","6186-98-7",NA,NA
"229","alcohol","oleyl alcohol","ALSTYHKOOCGGFT-KTKRTIGZSA-N","5284499","143-28-2",NA,NA
"230","alcohol","cis-vaccenyl alcohol","XMLQWXUVTXCDDL-FPLPWBNLSA-N","11821627","62972-93-4",NA,NA
"231","ester","oleyl acetate","GYGAZRPDUOHMAF-KHPPLWFESA-N","5363289","693-80-1",NA,NA
"232","acid","cis-vaccenic acid","UWHZIFQPPBDJPM-FPLPWBNLSA-N","5282761","506-17-2",NA,NA
"233","other","trans-methyl vaccenate","PVVODBCDJBGMJL-CMDGGOBGSA-N","5364432","6198-58-9",NA,NA
"234","other","hexane","VLKZOEOYAKHREP-UHFFFAOYSA-N","8058","110-54-3",NA,NA
"235","O ring","thymol","MGSRCZKZVOBKFT-UHFFFAOYSA-N","6989","89-83-8",NA,NA
"236","O ring","benzophenone","RWCCWEUUXYIKHB-UHFFFAOYSA-N","3102","119-61-9",NA,NA
"237","alcohol","isopropyl alcohol","KFZMGEQAYNKOFK-UHFFFAOYSA-N","3776","67-63-0",NA,NA
"238","other","methional","CLUWOWRTHNNBBU-UHFFFAOYSA-N","18635","3268-49-3",NA,NA
"239","O ring","menthol","NOOLISFMXDJSKH-KXUCPTDWSA-N","16666","89-78-1",NA,NA
